<<<<<<< HEAD
"RecordingId","ProcessId","TimeStamp","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
"Recording_18","Process_14","2022-02-21T04:49:38+00:00","Select menu option in window","Microsoft Edge (2) - 2 running windows in Quick Launch Bar","","","[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]","2","Open the web-based collaborative platform","Event_82","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:49:42+00:00","Click UI element in window","List Item 'New tab  ...  - Microsoft​ Edge' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New tab  ...  - Microsoft\u200b Edge\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 29 OffsetY: 9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","3","Open the web-based collaborative platform","Event_82","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:49:51+00:00","Populate text field in window","Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge'; Text:'sharepoint login'","msedge","New tab and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'sharepoint login' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","4","Open the web-based collaborative platform","Event_82","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:49:52+00:00","Send keys","TextToSend:'{Return}'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]","5","Open the web-based collaborative platform","Event_82","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:49:56+00:00","Click UI element in window","Hyperlink 'Office 365 login' in Window 'sharepoint  ...  - Microsoft​ Edge'","msedge","sharepoint login - Search and 1 more page - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'sharepoint  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Office 365 login\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -40 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]","6","Open the web-based collaborative platform","Event_82","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:50:01+00:00","Click UI element in window","Hyperlink 'SharePoint' in Window 'Microsoft  ...  - Microsoft​ Edge'","msedge","Microsoft Office Home and 2 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'SharePoint\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 2 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","7","Open the web-based collaborative platform","Event_82","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:50:08+00:00","Click UI element in window","Hyperlink 'Project RoadMap' in Window 'SharePoint  ...  - Microsoft​ Edge' 2","msedge","SharePoint and 3 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'SharePoint  ...  - Microsoft\u200b Edge\\' 2']['Hyperlink \\'Project RoadMap\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 3 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","8","Get the Fire fighting mock drill agenda link","Event_83","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:50:34+00:00","Click UI element in window","Hyperlink 'Shared  ...  about an hour ago' in Window 'Project  ...  - Microsoft​ Edge'","msedge","Project RoadMap - Home and 3 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Project  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Shared  ...  about an hour ago\\''] ClickType: UIAutomation.ClickType.RightClick OffsetX: -81 OffsetY: 79 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]","9","Get the Fire fighting mock drill agenda link","Event_83","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:50:38+00:00","Click UI element in window","Hyperlink 'Shared  ...  about an hour ago' in Window 'Project  ...  - Microsoft​ Edge'","msedge","Project RoadMap - Home and 3 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.Click Element: appmask['Window \\'Project  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Shared  ...  about an hour ago\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 0 OffsetY: -19 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","10","Get the Fire fighting mock drill agenda link","Event_83","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:50:46+00:00","Press button in window","Button 'Share' in Window 'Firefighting  ...  - Microsoft​ Edge'","msedge","Firefighting mockdrill agenda.docx and 3 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PressButton Button: appmask['Window \\'Firefighting  ...  - Microsoft\u200b Edge\\'']['Button \\'Share\\'']\n""]","11","Get the Fire fighting mock drill agenda link","Event_83","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:50:49+00:00","Press button in window","Button 'Copy' in Window 'Firefighting  ...  - Microsoft​ Edge'","msedge","Firefighting mockdrill agenda.docx and 3 more pages - [InPrivate] - Microsoft​ Edge","[""UIAutomation.PressButton Button: appmask['Window \\'Firefighting  ...  - Microsoft\u200b Edge\\'']['Button \\'Copy\\'']\n""]","12","Get the Fire fighting mock drill agenda link","Event_83","sharepoint/approvals/googlecalendar","Sharepoint"
"Recording_18","Process_14","2022-02-21T04:50:59+00:00","Press button in window","Outlook 2013 - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Outlook 2013 - 1 running window']\n""]","13","Check appropriate date to organize Fire fighting mock drill in coming week","Event_84","sharepoint/approvals/googlecalendar","Googlecalendar"
"Recording_18","Process_14","2022-02-21T04:51:03+00:00","Press button in window","Button 'Calendar' in Window 'Inbox - Email@Domain - Outlook'","OUTLOOK","Inbox - Email@Domain - Outlook","[""UIAutomation.PressButton Button: appmask['Window \\'Inbox - Email@Domain - Outlook\\'']['Button \\'Calendar\\'']\n""]","14","Check appropriate date to organize Fire fighting mock drill in coming week","Event_84","sharepoint/approvals/googlecalendar","Googlecalendar"
"Recording_18","Process_14","2022-02-21T04:51:08+00:00","Click UI element in window","List 'Month View,  ...  6, 2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'","OUTLOOK","Calendar - Email@Domain - Outlook","[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View,  ...  6, 2022 12:00am\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -238 OffsetY: -161 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomRight\n""]","15","Check appropriate date to organize Fire fighting mock drill in coming week","Event_84","sharepoint/approvals/googlecalendar","Googlecalendar"
"Recording_18","Process_14","2022-02-21T04:51:14+00:00","Click UI element in window","List 'Month View,  ...  6, 2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'","OUTLOOK","Calendar - Email@Domain - Outlook","[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View,  ...  6, 2022 12:00am\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -242 OffsetY: -154 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomRight\n""]","16","Check appropriate date to organize Fire fighting mock drill in coming week","Event_84","sharepoint/approvals/googlecalendar","Googlecalendar"
