StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors,duration
0,Recording_78,Process_24,2022-01-10T05:05:15+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",2.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,5.0
1,Recording_78,Process_24,2022-01-10T05:05:20+00:00,Click UI element in window,List Item 'Microsoft  ...  - Microsoft​ Edge' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Microsoft  ...  - Microsoft\u200b Edge\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -32 OffsetY: 17 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",3.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,5.0
2,Recording_78,Process_24,2022-01-10T05:05:25+00:00,Select menu option in window,Menu Item 'My flows' in Window 'Microsoft  ...  - Microsoft​ Edge',msedge,Microsoft Power Automate | Microsoft Power Platform - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Microsoft  ...  - Microsoft\u200b Edge\\'']['Menu Item \\'My flows\\'']\n""]",4.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,7.0
3,Recording_78,Process_24,2022-01-10T05:05:32+00:00,Select menu option in window,Menu Item 'Add new' in Window 'Manage your  ...  - Microsoft​ Edge',msedge,Manage your flows | Microsoft Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Manage your  ...  - Microsoft\u200b Edge\\'']['Menu Item \\'Add new\\'']\n""]",5.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,5.0
4,Recording_78,Process_24,2022-01-10T05:05:37+00:00,Select menu option in window,Menu Item 'Instant cloud flow—from blank' in Window 'Manage your  ...  - Microsoft​ Edge',msedge,Manage your flows | Microsoft Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Manage your  ...  - Microsoft\u200b Edge\\'']['Menu Item \\'Instant cloud flow—from blank\\'']\n""]",6.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,3.0
5,Recording_78,Process_24,2022-01-10T05:05:40+00:00,Click UI element in window,Edit 'Flow name' in Window 'Manage your  ...  - Microsoft​ Edge',msedge,Manage your flows | Microsoft Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Manage your  ...  - Microsoft\u200b Edge\\'']['Edit \\'Flow name\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 18 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",7.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,11.0
6,Recording_78,Process_24,2022-01-10T05:05:51+00:00,Populate text field in window,Edit 'Flow name' 2 in Window 'Manage your  ...  - Microsoft​ Edge'; Text:'Request for ISMS document',msedge,Manage your flows | Microsoft Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Manage your  ...  - Microsoft\u200b Edge\\'']['Edit \\'Flow name\\' 2'] Text: 'Request for ISMS document' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",8.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,6.0
7,Recording_78,Process_24,2022-01-10T05:05:57+00:00,Click UI element in window,Data Item 'Manually  ...  trigger a flow. ' in Window 'Manage your  ...  - Microsoft​ Edge',msedge,Manage your flows | Microsoft Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Manage your  ...  - Microsoft\u200b Edge\\'']['Data Item \\'Manually  ...  trigger a flow. \\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 32 OffsetY: 6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",9.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,3.0
8,Recording_78,Process_24,2022-01-10T05:06:00+00:00,Click UI element in window,Hyperlink 'Create' in Window 'Manage your  ...  - Microsoft​ Edge',msedge,Manage your flows | Microsoft Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Manage your  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Create\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -11 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10.0,Open the approval flow.,Event_384,Notifications/approvals,Approvals,7.0
9,Recording_78,Process_24,2022-01-10T05:06:07+00:00,Press button in window,Button '+ New step' in Window 'Create your  ...  - Microsoft​ Edge',msedge,Create your flow | Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Create your  ...  - Microsoft\u200b Edge\\'']['Button \\'+ New step\\'']\n""]",11.0,Send the request to get the approval to access the ISMS document.,Event_385,Notifications/approvals,Approvals,6.0
10,Recording_78,Process_24,2022-01-10T05:06:13+00:00,Populate text field in window,Edit 'Search connectors and actions' in Window 'Create your  ...  - Microsoft​ Edge'; Text:'approval',msedge,Create your flow | Power Automate - [InPrivate] - Microsoft​ Edge,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Create your  ...  - Microsoft\u200b Edge\\'']['Edit \\'Search connectors and actions\\''] Text: 'approval' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",12.0,Send the request to get the approval to access the ISMS document.,Event_385,Notifications/approvals,Approvals,5.0
