"RecordingId","ProcessId","TimeStamp","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
"Recording_147","Process_28","2021-12-15T08:43:39+00:00","Press button in window","Microsoft Teams - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]","2","Verify the approval from higher management for business trip to Delhi.","Event_675","approvals/googlecalendar/msnweather","Approvals"
"Recording_147","Process_28","2021-12-15T08:43:52+00:00","Drag and drop UI element in window","List Item 'Approvals  ...  more actions' in Pane in Pane 'General  ...  Teams, Main Window'","Teams","General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.DragAndDropElement MouseDownOffsetY: 8 MouseDownOffsetX: 5 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.TopLeft ControlToDrag: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Pane'] MouseUpOffsetY: 24 MouseUpOffsetX: -14 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.TopLeft ControlToDropOver: appmask['Pane \\'General  ...  Teams, Main Window\\'']['List Item \\'Approvals  ...  more actions\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]","3","Verify the approval from higher management for business trip to Delhi.","Event_675","planner/googlecalendar/wordonlinebusiness","Planner"
"Recording_147","Process_28","2021-12-15T08:44:09+00:00","Click UI element in window","Data Item 'Business Trip' in Pane 'General  ...  Teams, Main Window'","Teams","General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Data Item \\'Business Trip\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -42 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","4","Verify the approval from higher management for business trip to Delhi.","Event_675","approvals/googlecalendar/msnweather","Approvals"
"Recording_147","Process_28","2021-12-15T08:44:33+00:00","Press button in window","Outlook 2013 - 1 running window in Quick Launch Bar","","","[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Outlook 2013 - 1 running window']\n""]","5","Go to calendar to check date as per national holidays.","Event_676","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:44:59+00:00","Click UI element in window","List 'Month View, 29  ...  2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'","OUTLOOK","Calendar - Email@Domain - Outlook","[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View, 29  ...  2022 12:00am\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -54 OffsetY: -170 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","6","Go to calendar to check date as per national holidays.","Event_676","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:45:04+00:00","Click UI element in window","List 'Month View, 29  ...  2022 12:00am' in Window 'Calendar - Email@Domain - Outlook'","OUTLOOK","Calendar - Email@Domain - Outlook","[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['List \\'Month View, 29  ...  2022 12:00am\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -14 OffsetY: 85 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","11","Go to calendar to check date as per national holidays.","Event_676","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:45:51+00:00","Click UI element in window","UI Custom 'NetUINetUI' in Window 'Calendar - Email@Domain - Outlook'","OUTLOOK","Calendar - Email@Domain - Outlook","[""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['UI Custom \\'NetUINetUI\\''] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: -13 OffsetY: 166 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n"", ""UIAutomation.Click Element: appmask['Window \\'Calendar - Email@Domain - Outlook\\'']['UI Custom \\'NetUINetUI\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -13 OffsetY: 166 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]","13","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:45:53+00:00","Click UI element in window","Combo Box 'Location' in Window 'Untitled - Appointment  '","OUTLOOK","Untitled - Appointment  ","[""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 87 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","14","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:45:54+00:00","Send keys","TextToSend:'{LShiftKey}(D)elho{Back}i, {LShiftKey}(I)'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LShiftKey}(D)elho{Back}i,{Space}{LShiftKey}(I)'\n""]","15","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:45:59+00:00","Send keys","TextToSend:'ndi'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: 'ndi'\n""]","16","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:00+00:00","Send keys","TextToSend:'a'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: 'a'\n""]","17","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:04+00:00","Click UI element in window","Combo Box 'Location' in Window 'Untitled - Appointment  '","OUTLOOK","Untitled - Appointment  ","[""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonDown\n"", ""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonUp\n""]","18","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:04+00:00","Click UI element in window","Combo Box 'Location' in Window 'Untitled - Appointment  '","OUTLOOK","Untitled - Appointment  ","[""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonDown\n"", ""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonUp\n""]","19","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:06+00:00","Click UI element in window","Combo Box 'Location' in Window 'Untitled - Appointment  '","OUTLOOK","Untitled - Appointment  ","[""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonDown\n"", ""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonUp\n""]","20","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:06+00:00","Click UI element in window","Combo Box 'Location' in Window 'Untitled - Appointment  '","OUTLOOK","Untitled - Appointment  ","[""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonDown\n"", ""UIAutomation.Click Element: appmask['Window \\'Untitled - Appointment  \\'']['Combo Box \\'Location\\''] ClickType: UIAutomation.ClickType.LeftButtonUp\n""]","21","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:10+00:00","Click UI element in window","Edit 'End time' in Window 'Business Trip - Appointment  '","OUTLOOK","Business Trip - Appointment  ","[""UIAutomation.Click Element: appmask['Window \\'Business Trip - Appointment  \\'']['Edit \\'End time\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 3 OffsetY: 4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]","22","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:19+00:00","Click UI element in window","Button 'Save & Close' in Window 'Business Trip - Appointment  '","OUTLOOK","Business Trip - Appointment  ","[""UIAutomation.Click Element: appmask['Window \\'Business Trip - Appointment  \\'']['Button \\'Save & Close\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -2 OffsetY: -13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]","23","Schedule a date for trip.","Event_677","approvals/googlecalendar/msnweather","Googlecalendar"
"Recording_147","Process_28","2021-12-15T08:46:34+00:00","Click UI element in window","Google Chrome - 2 running windows in Quick Launch Bar","","","[""UIAutomation.Click Element: appmask['Quick Launch Bar']['Google Chrome - 2 running windows'] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 5 OffsetY: -2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","24","Check weather for the desired location.","Event_678","approvals/googlecalendar/msnweather","msnweather"
"Recording_147","Process_28","2021-12-15T08:46:39+00:00","Click UI element in window","List Item 'New Tab - Google Chrome' in List 'Task Switcher'","","Task Switcher","[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'New Tab - Google Chrome\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -58 OffsetY: -8 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]","25","Check weather for the desired location.","Event_678","approvals/googlecalendar/msnweather","msnweather"
"Recording_147","Process_28","2021-12-15T08:46:48+00:00","Populate text field in window","Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Person 1'; Text:'msnweather'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Edit \\'Address and search bar\\''] Text: 'msnweather' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","26","Check weather for the desired location.","Event_678","approvals/googlecalendar/msnweather","msnweather"
"Recording_147","Process_28","2021-12-15T08:46:55+00:00","Click UI element in window","Pane in Pane 'New Tab - Google Chrome - Person 1'","chrome","New Tab - Google Chrome - Person 1","[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Pane'] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: 27 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]","27","Check weather for the desired location.","Event_678","approvals/googlecalendar/msnweather","msnweather"
