<<<<<<< HEAD
"RecordingId","ProcessId","TimeStamp","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
"Recording_125","Process_36","2022-02-17T02:58:01+00:00","Click UI element in window","Window 'New  ...  Outlook. . Actions' in Window 'New notification'","ShellExperienceHost","New notification","[""UIAutomation.Click Element: appmask['Window \\'New notification\\'']['Window \\'New  ...  Outlook. . Actions\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 76 OffsetY: -9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]","3","Get the Notification of mail and verify it","Event_571","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:07+00:00","Click UI element in window","List Item ' Unread  ...  CL-2 SL-1 LWP-1' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\' Unread  ...  CL-2 SL-1 LWP-1\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -17 OffsetY: 25 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]","4","Get the Notification of mail and verify it","Event_571","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:11+00:00","Drag and drop UI element in window","Edit 'Message' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.DragAndDropElement MouseDownOffsetY: 170 MouseDownOffsetX: 35 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.TopLeft ControlToDrag: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Edit \\'Message\\''] MouseUpOffsetY: 14 MouseUpOffsetX: 82 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.TopLeft ControlToDropOver: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Edit \\'Message\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]","5","Copy the attendance summary","Event_572","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:12+00:00","Send keys","TextToSend:'{LControlKey}({C})'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LControlKey}({C})'\n""]","6","Copy the attendance summary","Event_572","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:20+00:00","Press button in window","Button 'Type here to search' in TaskBar","","","[""UIAutomation.PressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]","7","Share it to the HR group in messaging app.","Event_573","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:23+00:00","Populate text field in window","Edit 'Search box' in Window 'Search'; Text:'skype'","SearchApp","Search","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'skype' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","8","Share it to the HR group in messaging app.","Event_573","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:26+00:00","Click UI element in window","List Item 'Skype, App, Press right to switch preview' in Window 'Search'","SearchApp","Search","[""UIAutomation.Click Element: appmask['Window \\'Search\\'']['List Item \\'Skype, App, Press right to switch preview\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -42 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]","9","Share it to the HR group in messaging app.","Event_573","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:31+00:00","Press button in window","Button 'Name Surname,  ...  messages, selected' in Pane 'Skype'","Skype","Skype","[""UIAutomation.PressButton Button: appmask['Pane \\'Skype\\'']['Button \\'Name Surname,  ...  messages, selected\\'']\n""]","10","Share it to the HR group in messaging app.","Event_573","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:39+00:00","Populate text field in window","Edit 'Type a message' in Pane 'Skype'; Text:'''
'''","Skype","Skype","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Skype\\'']['Edit \\'Type a message\\''] Text: '''\n"", ""''' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]","11","Share it to the HR group in messaging app.","Event_573","Notifications/teams",""
"Recording_125","Process_36","2022-02-17T02:58:43+00:00","Press button in window","Button 'Send message' in Pane 'Skype'","Skype","Skype","[""UIAutomation.PressButton Button: appmask['Pane \\'Skype\\'']['Button \\'Send message\\'']\n"", '# End of autogenerated actions using the desktop recorder\n']","","Share it to the HR group in messaging app.","Event_573","Notifications/teams",""
=======
"","StepId","RecordingId","ProcessId","TimeStamp","DurationSec","StepName","StepDescription","ApplicationProcessName","ApplicationParentWindowName","AutomationStep","NextStepId","label_EventName","label_EventId","Process_Name","Connectors"
"1",0,"Recording_125","Process_36",2022-02-17 02:58:01,6,"Click UI element in window","Window 'New  ...  Outlook. . Actions' in Window 'New notification'","ShellExperienceHost","New notification","[""UIAutomation.Click Element: appmask['Window \\'New notification\\'']['Window \\'New  ...  Outlook. . Actions\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 76 OffsetY: -9 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",3,"Get the Notification of mail and verify it","Event_571","Notifications/teams",NA
"2",1,"Recording_125","Process_36",2022-02-17 02:58:07,4,"Click UI element in window","List Item ' Unread  ...  CL-2 SL-1 LWP-1' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\' Unread  ...  CL-2 SL-1 LWP-1\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -17 OffsetY: 25 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",4,"Get the Notification of mail and verify it","Event_571","Notifications/teams",NA
"3",2,"Recording_125","Process_36",2022-02-17 02:58:11,1,"Drag and drop UI element in window","Edit 'Message' in Window 'Inbox - Outlook ‎- Mail'","ApplicationFrameHost","Inbox - Outlook ‎- Mail","[""UIAutomation.DragAndDropElement MouseDownOffsetY: 170 MouseDownOffsetX: 35 RectangleEdgePointForMouseDown: UIAutomation.RectangleEdgePoint.TopLeft ControlToDrag: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Edit \\'Message\\''] MouseUpOffsetY: 14 MouseUpOffsetX: 82 RectangleEdgePointForMouseUp: UIAutomation.RectangleEdgePoint.TopLeft ControlToDropOver: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Edit \\'Message\\''] ClickType: UIAutomation.DragAndDropClickType.LeftClick\n""]",5,"Copy the attendance summary","Event_572","Notifications/teams",NA
"4",3,"Recording_125","Process_36",2022-02-17 02:58:12,8,"Send keys","TextToSend:'{LControlKey}({C})'","","","['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LControlKey}({C})'\n""]",6,"Copy the attendance summary","Event_572","Notifications/teams",NA
"5",4,"Recording_125","Process_36",2022-02-17 02:58:20,3,"Press button in window","Button 'Type here to search' in TaskBar","","","[""UIAutomation.PressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]",7,"Share it to the HR group in messaging app.","Event_573","Notifications/teams",NA
"6",5,"Recording_125","Process_36",2022-02-17 02:58:23,3,"Populate text field in window","Edit 'Search box' in Window 'Search'; Text:'skype'","SearchApp","Search","[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'skype' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",8,"Share it to the HR group in messaging app.","Event_573","Notifications/teams",NA
"7",6,"Recording_125","Process_36",2022-02-17 02:58:26,5,"Click UI element in window","List Item 'Skype, App, Press right to switch preview' in Window 'Search'","SearchApp","Search","[""UIAutomation.Click Element: appmask['Window \\'Search\\'']['List Item \\'Skype, App, Press right to switch preview\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -42 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",9,"Share it to the HR group in messaging app.","Event_573","Notifications/teams",NA
"8",7,"Recording_125","Process_36",2022-02-17 02:58:31,8,"Press button in window","Button 'Name Surname,  ...  messages, selected' in Pane 'Skype'","Skype","Skype","[""UIAutomation.PressButton Button: appmask['Pane \\'Skype\\'']['Button \\'Name Surname,  ...  messages, selected\\'']\n""]",10,"Share it to the HR group in messaging app.","Event_573","Notifications/teams",NA
"9",8,"Recording_125","Process_36",2022-02-17 02:58:39,4,"Populate text field in window","Edit 'Type a message' in Pane 'Skype'; Text:'''
'''","Skype","Skype","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'Skype\\'']['Edit \\'Type a message\\''] Text: '''\n"", ""''' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",11,"Share it to the HR group in messaging app.","Event_573","Notifications/teams",NA
