StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors
0,Recording_24,Process_4,2022-02-21T08:58:12+00:00,Select menu option in window,Microsoft Edge (2) - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Microsoft Edge (2) - 2 running windows']\n""]",2.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
1,Recording_24,Process_4,2022-02-21T08:58:16+00:00,Press button in window,Button 'New Tab' in Window 'Process  ...  - Microsoft​ Edge',msedge,Process advisor | Power Automate and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Process  ...  - Microsoft\u200b Edge\\'']['Button \\'New Tab\\'']\n""]",3.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
2,Recording_24,Process_4,2022-02-21T08:58:19+00:00,Click UI element in window,Edit 'Address and search bar' in Window 'Process  ...  - Microsoft​ Edge',msedge,Process advisor | Power Automate and 1 more page - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Process  ...  - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 164 OffsetY: -3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",4.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
3,Recording_24,Process_4,2022-02-21T08:58:23+00:00,Populate text field in window,Edit 'Address and search bar' in Window 'New tab and  ...  - Microsoft​ Edge'; Text:'evernote',msedge,New tab and 2 more pages - Personal - Microsoft​ Edge,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'New tab and  ...  - Microsoft\u200b Edge\\'']['Edit \\'Address and search bar\\''] Text: 'evernote' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",5.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
4,Recording_24,Process_4,2022-02-21T08:58:24+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",6.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
5,Recording_24,Process_4,2022-02-21T08:58:29+00:00,Click UI element in window,Hyperlink 'Best Note  ...  Notes with Evernote' in Window 'evernote -  ...  - Microsoft​ Edge',msedge,evernote - Search and 2 more pages - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'evernote -  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Best Note  ...  Notes with Evernote\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 158 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",7.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
6,Recording_24,Process_4,2022-02-21T08:58:35+00:00,Click UI element in window,Hyperlink 'Log In' in Window 'Best Note  ...  - Microsoft​ Edge',msedge,Best Note Taking App - Organize Your Notes with Evernote and 3 more pages - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Best Note  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Log In\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -2 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",8.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
7,Recording_24,Process_4,2022-02-21T08:58:46+00:00,Click UI element in window,Hyperlink 'Notebooks' in Window 'Home -  ...  - Microsoft​ Edge',msedge,Home - Evernote and 3 more pages - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'Home -  ...  - Microsoft\u200b Edge\\'']['Hyperlink \\'Notebooks\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 27 OffsetY: -1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",9.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
8,Recording_24,Process_4,2022-02-21T08:58:49+00:00,Press button in window,Button 'employee_role (1)' in Window 'Notebooks -  ...  - Microsoft​ Edge',msedge,Notebooks - Evernote and 3 more pages - Personal - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Notebooks -  ...  - Microsoft\u200b Edge\\'']['Button \\'employee_role (1)\\'']\n""]",10.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
9,Recording_24,Process_4,2022-02-21T08:58:53+00:00,Click UI element in window,Group 'Note List' in Window 'emp ...  - Microsoft​ Edge',msedge,employee_role - Evernote and 3 more pages - Personal - Microsoft​ Edge,"[""UIAutomation.Click Element: appmask['Window \\'emp ...  - Microsoft\u200b Edge\\'']['Group \\'Note List\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -83 OffsetY: 67 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",11.0,Locate the file having details of changes in employees role in note taking app,Event_109,Office365users/sendmail/onenote,onenote
