StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors
0,Recording_99,Process_39,2022-02-17T06:43:16+00:00,Press button in window,Button 'Type here to search' in TaskBar,,,"[""UIAutomation.PressButton Button: appmask['TaskBar']['Button \\'Type here to search\\'']\n""]",2.0,Locate mail in Mail box,Event_461,Outlook/powerbi,Outlook
1,Recording_99,Process_39,2022-02-17T06:43:18+00:00,Populate text field in window,Edit 'Search box' in Window 'Search'; Text:'mail',SearchApp,Search,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Search\\'']['Edit \\'Search box\\''] Text: 'mail' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",3.0,Locate mail in Mail box,Event_461,Outlook/powerbi,Outlook
2,Recording_99,Process_39,2022-02-17T06:43:20+00:00,Click UI element in window,"List Item 'Mail, App, Press right to switch preview' in Window 'Search'",SearchApp,Search,"[""UIAutomation.Click Element: appmask['Window \\'Search\\'']['List Item \\'Mail, App, Press right to switch preview\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -72 OffsetY: 17 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",4.0,Locate mail in Mail box,Event_461,Outlook/powerbi,Outlook
3,Recording_99,Process_39,2022-02-17T06:43:23+00:00,Click UI element in window,"List Item ' Unread  ...  Thanks, Name Surname' in Window 'Inbox - Outlook ‎- Mail'",ApplicationFrameHost,Inbox - Outlook ‎- Mail,"[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\' Unread  ...  Thanks, Name Surname\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -32 OffsetY: 13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",5.0,Locate mail in Mail box,Event_461,Outlook/powerbi,Outlook
4,Recording_99,Process_39,2022-02-17T06:43:27+00:00,Click UI element in window,List Item 'Open Raw  ...  14.89 KB attachment' in Window 'Inbox - Outlook ‎- Mail',ApplicationFrameHost,Inbox - Outlook ‎- Mail,"[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['List Item \\'Open Raw  ...  14.89 KB attachment\\''] ClickType: UIAutomation.ClickType.RightClick OffsetX: -45 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",6.0,Save the attachment received in mail,Event_462,Outlook/powerbi,Outlook
5,Recording_99,Process_39,2022-02-17T06:43:30+00:00,Press button in window,Button 'Save' in Window 'Inbox - Outlook ‎- Mail',ApplicationFrameHost,Inbox - Outlook ‎- Mail,"[""UIAutomation.PressButton Button: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Button \\'Save\\'']\n""]",7.0,Save the attachment received in mail,Event_462,Outlook/powerbi,Outlook
6,Recording_99,Process_39,2022-02-17T06:43:37+00:00,Click UI element in window,Tree Item 'Desktop' in Window 'Inbox - Outlook ‎- Mail',ApplicationFrameHost,Inbox - Outlook ‎- Mail,"[""UIAutomation.Click Element: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Tree Item \\'Desktop\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -4 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",8.0,Save the attachment received in mail,Event_462,Outlook/powerbi,Outlook
7,Recording_99,Process_39,2022-02-17T06:43:40+00:00,Press button in window,Button 'Save' 2 in Window 'Inbox - Outlook ‎- Mail',ApplicationFrameHost,Inbox - Outlook ‎- Mail,"[""UIAutomation.PressButton Button: appmask['Window \\'Inbox - Outlook \u200e- Mail\\'']['Button \\'Save\\' 2']\n""]",9.0,Save the attachment received in mail,Event_462,Outlook/powerbi,Outlook
8,Recording_99,Process_39,2022-02-17T06:43:47+00:00,Press button in window,Firefox - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Firefox - 1 running window']\n""]",10.0,Open the data analytic tool & load the data,Event_463,Outlook/powerbi,Powerbi
9,Recording_99,Process_39,2022-02-17T06:43:51+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Process advisor | Power Automate — Mozilla Firefox',firefox,Process advisor | Power Automate — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Process advisor | Power Automate — Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",11.0,Open the data analytic tool & load the data,Event_463,Outlook/powerbi,Powerbi
10,Recording_99,Process_39,2022-02-17T06:43:57+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'o365',firefox,Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'o365' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",12.0,Open the data analytic tool & load the data,Event_463,Outlook/powerbi,Powerbi
11,Recording_99,Process_39,2022-02-17T06:43:58+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",13.0,Open the data analytic tool & load the data,Event_463,Outlook/powerbi,Powerbi
