RecordingId;ProcessId;TimeStamp;StepName;StepDescription;ApplicationProcessName;New_StepName
Recording_1;Process_1;2022-02-21T02:54:51+00:00;Press button in window;Button 'SharePoint' in Pane 'SharePoint - Google Chrome - Name';chrome;Press button in window / chrome
Recording_1;Process_1;2022-02-21T02:54:56+00:00;Click UI element in window;Hyperlink 'Project RoadMap' in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:55:00+00:00;Click UI element in window;Hyperlink 'Documents' in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:56:06+00:00;Click UI element in window;Hyperlink 'Feedback form instruction.docx' in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:56:17+00:00;Click UI element in window;Pane in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:56:20+00:00;Click UI element in window;Button 'Close' in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:56:25+00:00;Prepare a form for employees feedback;Button 'New Tab' in Pane 'SharePoint - Google Chrome - Name';chrome;Prepare a form for employees feedback / chrome
Recording_1;Process_1;2022-02-21T02:56:33+00:00;Populate text field in window;"Edit 'Address and search bar' in Pane 'SharePoint - Google Chrome - Name'; Text:'zoho forms'";chrome;Populate text field in window / chrome
Recording_1;Process_1;2022-02-21T02:56:39+00:00;Click UI element in window;Hyperlink ' Form  ... om › forms' in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:56:46+00:00;Click UI element in window;Hyperlink 'ACCESS ZOHO FORMS' in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:57:08+00:00;Populate text field in window;"Edit in Pane 'SharePoint - Google Chrome - Name'; Text:'Employee Feedback on Leave Policy'";chrome;Populate text field in window / chrome
Recording_1;Process_1;2022-02-21T02:57:26+00:00;Click UI element in window;List Item in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:57:34+00:00;Click UI element in window;List Item 2 in Pane 'SharePoint - Google Chrome - Name';chrome;Click UI element in window / chrome
Recording_1;Process_1;2022-02-21T02:57:54+00:00;Populate text field in window;"Edit 2 in Pane 'SharePoint - Google Chrome - Name'; Text:'Are you agree with the Leave Policy?'";chrome;Populate text field in window / chrome
