StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors,duration
0,Recording_132,Process_43,2022-02-18T06:47:42+00:00,Select menu option in window,Firefox - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Firefox - 2 running windows']\n""]",2.0,Go to the cloud storage,Event_600,sendmail/powerbi/onedrive,onedrive,2.0
1,Recording_132,Process_43,2022-02-18T06:47:44+00:00,Click UI element in window,List Item 'Process  ...  — Mozilla Firefox' in List 'Task Switcher',,Task Switcher,"[""UIAutomation.Click Element: appmask['List \\'Task Switcher\\'']['List Item \\'Process  ...  — Mozilla Firefox\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 12 OffsetY: -6 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",3.0,Go to the cloud storage,Event_600,sendmail/powerbi/onedrive,onedrive,3.0
2,Recording_132,Process_43,2022-02-18T06:47:47+00:00,Press button in window,Button 'Open a new tab (Ctrl+T)' in Window 'Process advisor | Power Automate — Mozilla Firefox',firefox,Process advisor | Power Automate — Mozilla Firefox,"[""UIAutomation.PressButton Button: appmask['Window \\'Process advisor | Power Automate — Mozilla Firefox\\'']['Button \\'Open a new tab (Ctrl+T)\\'']\n""]",4.0,Go to the cloud storage,Event_600,sendmail/powerbi/onedrive,onedrive,4.0
3,Recording_132,Process_43,2022-02-18T06:47:51+00:00,Populate text field in window,Edit 'Search with Google or enter address' in Window 'Mozilla Firefox'; Text:'onedrrive',firefox,Mozilla Firefox,"[""UIAutomation.PopulateTextField TextField: appmask['Window \\'Mozilla Firefox\\'']['Edit \\'Search with Google or enter address\\''] Text: 'onedrrive' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",5.0,Go to the cloud storage,Event_600,sendmail/powerbi/onedrive,onedrive,1.0
4,Recording_132,Process_43,2022-02-18T06:47:52+00:00,Send keys,TextToSend:'{Return}',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{Return}'\n""]",6.0,Go to the cloud storage,Event_600,sendmail/powerbi/onedrive,onedrive,4.0
5,Recording_132,Process_43,2022-02-18T06:47:56+00:00,Click UI element in window,Hyperlink 'Free  ... 365 › o...' in Window 'onedrrive - Google Search — Mozilla Firefox',firefox,onedrrive - Google Search — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'onedrrive - Google Search — Mozilla Firefox\\'']['Hyperlink \\'Free  ... 365 › o...\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 120 OffsetY: -7 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",7.0,Go to the cloud storage,Event_600,sendmail/powerbi/onedrive,onedrive,3.0
6,Recording_132,Process_43,2022-02-18T06:47:59+00:00,Click UI element in window,Hyperlink 'Sign in to your account' 4 in Window 'Free Cloud  ...  — Mozilla Firefox',firefox,Free Cloud Storage - Share Files & Photos | Microsoft OneDrive — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Free Cloud  ...  — Mozilla Firefox\\'']['Hyperlink \\'Sign in to your account\\' 4'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 1 OffsetY: 14 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",8.0,Go to the cloud storage,Event_600,sendmail/powerbi/onedrive,onedrive,7.0
7,Recording_132,Process_43,2022-02-18T06:48:06+00:00,Click UI element in window,Hyperlink ' ...  7 minutes ago' in Window 'My files - OneDrive — Mozilla Firefox',firefox,My files - OneDrive — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'My files - OneDrive — Mozilla Firefox\\'']['Hyperlink \\' ...  7 minutes ago\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -56 OffsetY: -27 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleRight\n""]",9.0,Locate the employee salary detail spreadsheet & save it,Event_601,sendmail/powerbi/onedrive,onedrive,4.0
8,Recording_132,Process_43,2022-02-18T06:48:10+00:00,Click UI element in window,Hyperlink 'Employee  ...  7 minutes ago' in Window 'Documents - OneDrive — Mozilla Firefox',firefox,Documents - OneDrive — Mozilla Firefox,"[""UIAutomation.Click Element: appmask['Window \\'Documents - OneDrive — Mozilla Firefox\\'']['Hyperlink \\'Employee  ...  7 minutes ago\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 12 OffsetY: 25 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",10.0,Locate the employee salary detail spreadsheet & save it,Event_601,sendmail/powerbi/onedrive,onedrive,17.0
9,Recording_132,Process_43,2022-02-18T06:48:27+00:00,Select menu option in window,Menu Item 'File' in Window 'Employee  ...  — Mozilla Firefox',firefox,Employee Salary Details.xlsx - Microsoft Excel Online — Mozilla Firefox,"[""UIAutomation.SelectMenuOption Control: appmask['Window \\'Employee  ...  — Mozilla Firefox\\'']['Menu Item \\'File\\'']\n""]",11.0,Locate the employee salary detail spreadsheet & save it,Event_601,sendmail/powerbi/onedrive,onedrive,6.0
