StepId,RecordingId,ProcessId,TimeStamp,StepName,StepDescription,ApplicationProcessName,ApplicationParentWindowName,AutomationStep,NextStepId,label_EventName,label_EventId,Process_Name,Connectors,duration
0,Recording_141,Process_47,2021-12-15T05:41:47+00:00,Select menu option in window,Google Chrome - 2 running windows in Quick Launch Bar,,,"[""UIAutomation.SelectMenuOption Control: appmask['Quick Launch Bar']['Google Chrome - 2 running windows']\n""]",2.0,Open cloud storage.,Event_647,onedriveforbusiness/teams/onenote,,3.0
1,Recording_141,Process_47,2021-12-15T05:41:50+00:00,Click UI element in window,Edit 'Address and search bar' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Edit \\'Address and search bar\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 250 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",3.0,Open cloud storage.,Event_647,onedriveforbusiness/teams/onenote,,4.0
2,Recording_141,Process_47,2021-12-15T05:41:54+00:00,Click UI element in window,Pane in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Pane'] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 2 OffsetY: 2 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",4.0,Open cloud storage.,Event_647,onedriveforbusiness/teams/onenote,,4.0
3,Recording_141,Process_47,2021-12-15T05:41:58+00:00,Click UI element in window,Hyperlink ' Office  ... office.com' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\' Office  ... office.com\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 0 OffsetY: 1 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",5.0,Open cloud storage.,Event_647,onedriveforbusiness/teams/onenote,,4.0
4,Recording_141,Process_47,2021-12-15T05:42:02+00:00,Click UI element in window,Hyperlink 'OneDrive' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\'OneDrive\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 6 OffsetY: 13 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",6.0,Open cloud storage.,Event_647,onedriveforbusiness/teams/onenote,,4.0
5,Recording_141,Process_47,2021-12-15T05:42:06+00:00,Click UI element in window,Hyperlink 'Project Demo' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\'Project Demo\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 13 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",7.0,Locate spreadsheet in which the meeting points are mentioned.,Event_648,onedriveforbusiness/teams/onenote,,4.0
6,Recording_141,Process_47,2021-12-15T05:42:10+00:00,Click UI element in window,Hyperlink 'Minutes of Meeting.xlsx' in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Hyperlink \\'Minutes of Meeting.xlsx\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -3 OffsetY: 5 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",8.0,Locate spreadsheet in which the meeting points are mentioned.,Event_648,onedriveforbusiness/teams/onenote,,4.0
7,Recording_141,Process_47,2021-12-15T05:42:14+00:00,Click UI element in window,Image in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Image'] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: -314 OffsetY: 101 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",9.0,Locate spreadsheet in which the meeting points are mentioned.,Event_648,onedriveforbusiness/teams/onenote,,5.0
8,Recording_141,Process_47,2021-12-15T05:42:19+00:00,Click UI element in window,Image in Pane 'New Tab - Google Chrome - Person 1',chrome,New Tab - Google Chrome - Person 1,"[""UIAutomation.Click Element: appmask['Pane \\'New Tab - Google Chrome - Person 1\\'']['Image'] ClickType: UIAutomation.ClickType.RightClick OffsetX: -314 OffsetY: 101 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",10.0,Locate spreadsheet in which the meeting points are mentioned.,Event_648,onedriveforbusiness/teams/onenote,,23.0
9,Recording_141,Process_47,2021-12-15T05:42:42+00:00,Press button in window,Microsoft Teams - 1 running window in Quick Launch Bar,,,"[""UIAutomation.PressButton Button: appmask['Quick Launch Bar']['Microsoft Teams - 1 running window']\n""]",11.0,Open note taking app through messaging app.,Event_649,onedriveforbusiness/teams/onenote,,6.0
10,Recording_141,Process_47,2021-12-15T05:42:48+00:00,Click UI element in window,"Pane in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Pane'] ClickType: UIAutomation.ClickType.LeftButtonDown OffsetX: 2 OffsetY: -4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleCenter\n""]",12.0,Open note taking app through messaging app.,Event_649,onedriveforbusiness/teams/onenote,,14.0
11,Recording_141,Process_47,2021-12-15T05:43:02+00:00,Click UI element in window,"List Item 'OneNote' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['List Item \\'OneNote\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: -1 OffsetY: -33 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.BottomCenter\n""]",13.0,Open note taking app through messaging app.,Event_649,onedriveforbusiness/teams/onenote,,5.0
12,Recording_141,Process_47,2021-12-15T05:43:07+00:00,Click UI element in window,"Group 'Create New Notebook' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Group \\'Create New Notebook\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 162 OffsetY: 0 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.MiddleLeft\n""]",14.0,Open note taking app through messaging app.,Event_649,onedriveforbusiness/teams/onenote,,5.0
13,Recording_141,Process_47,2021-12-15T05:43:12+00:00,Populate text field in window,"Edit 'Create New Notebook' in Pane 'General  ...  Teams, Main Window'; Text:'New note'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.PopulateTextField TextField: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Edit \\'Create New Notebook\\''] Text: 'New note' Mode: UIAutomation.PopulateTextMode.Replace ClickType: UIAutomation.PopulateMouseClickType.SingleClick\n""]",15.0,Open note taking app through messaging app.,Event_649,onedriveforbusiness/teams/onenote,,7.0
14,Recording_141,Process_47,2021-12-15T05:43:19+00:00,Click UI element in window,"Button 'Save' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Button \\'Save\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -9 OffsetY: 4 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopCenter\n""]",16.0,Open note taking app through messaging app.,Event_649,onedriveforbusiness/teams/onenote,,20.0
15,Recording_141,Process_47,2021-12-15T05:43:39+00:00,Click UI element in window,"Group 'Page Contents' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Group \\'Page Contents\\''] ClickType: UIAutomation.ClickType.LeftClick OffsetX: 196 OffsetY: 124 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopLeft\n""]",17.0,Note down the feedback points in note taking app.,Event_650,onedriveforbusiness/teams/onenote,,4.0
16,Recording_141,Process_47,2021-12-15T05:43:43+00:00,Send keys,TextToSend:'{LControlKey}({V})',,,"['WAIT 2\n', ""MouseAndKeyboard.SendKeys TextToSend: '{LControlKey}({V})'\n""]",18.0,Note down the feedback points in note taking app.,Event_650,onedriveforbusiness/teams/onenote,,7.0
17,Recording_141,Process_47,2021-12-15T05:43:50+00:00,Click UI element in window,"Text 'Open in Browser' in Pane 'General  ...  Teams, Main Window'",Teams,"General (Project RoadMap) | Microsoft Teams, Main Window","[""UIAutomation.Click Element: appmask['Pane \\'General  ...  Teams, Main Window\\'']['Text \\'Open in Browser\\''] ClickType: UIAutomation.ClickType.LeftButtonUp OffsetX: -30 OffsetY: 3 MousePositionRelativeToElement: UIAutomation.RectangleEdgePoint.TopRight\n""]",19.0,Share the same with respective team members.,Event_651,onedriveforbusiness/teams/onenote,,18.0
18,Recording_141,Process_47,2021-12-15T05:44:08+00:00,Press button in window,Button 'Sign in with  ...  or school account.' in Window 'Sign in to  ...  - Microsoft​ Edge',msedge,Sign in to your account - Personal - Microsoft​ Edge,"[""UIAutomation.PressButton Button: appmask['Window \\'Sign in to  ...  - Microsoft\u200b Edge\\'']['Button \\'Sign in with  ...  or school account.\\'']\n""]",20.0,Share the same with respective team members.,Event_651,onedriveforbusiness/teams/onenote,,36.0
